Series1	42005.375	-2
Series1	42005.75	-2
Series1	42005.9993055556	-2
Series1	42006.375	-2
Series1	42006.75	-2.08
Series1	42006.9993055556	-2
Series1	42007.375	-2
Series1	42007.75	-2.08
Series1	42007.9993055556	-2.08
Series1	42008.375	-2
Series1	42008.75	-2.08
Series1	42008.9993055556	-2.08
Series1	42009.375	-2.08
Series1	42009.75	-2.08
Series1	42009.9993055556	-2.08
Series1	42010.375	-2.08
Series1	42010.75	-2.09
Series1	42010.9993055556	-2.08
Series1	42011.375	-2.09
Series1	42011.75	-2.08
Series1	42011.9993055556	-2
Series1	42012.375	-2.08
Series1	42012.75	-2.08
Series1	42012.9993055556	-2
Series1	42013.375	-2.09
Series1	42013.75	-2.08
Series1	42013.9993055556	-2.08
Series1	42014.375	-2.09
Series1	42014.75	-2.09
Series1	42014.9993055556	-2.09
Series1	42015.375	-2.08
Series1	42015.75	-2.08
Series1	42015.9993055556	-2
Series1	42016.375	-2.09
Series1	42016.75	-2
Series1	42016.9993055556	-2
Series1	42017.375	-2.09
Series1	42017.75	-2.08
Series1	42017.9993055556	-2.08
Series1	42018.375	-2
Series1	42018.75	-2.08
Series1	42018.9993055556	-2.09
Series1	42019.375	-2.08
Series1	42019.75	-2.08
Series1	42019.9993055556	-2.08
Series1	42020.375	-2
Series1	42020.75	-2
Series1	42020.9993055556	-2.08
Series1	42021.375	-2.08
Series1	42021.75	-2
Series1	42021.9993055556	-2.08
Series1	42022.375	-2
Series1	42022.75	-2
Series1	42022.9993055556	-2
Series1	42023.375	-2
Series1	42023.75	-2
Series1	42023.9993055556	-1.99
Series1	42024.375	-2
Series1	42024.75	-2
Series1	42024.9993055556	-1.99
Series1	42025.375	-2
Series1	42025.75	-2
Series1	42025.9993055556	-2
Series1	42026.375	-2
Series1	42026.75	-2
Series1	42026.9993055556	-2
Series1	42027.375	-2
Series1	42027.75	-2
Series1	42027.9993055556	-2
Series1	42028.375	-2
Series1	42028.75	-2
Series1	42028.9993055556	-1.99
Series1	42029.375	-2
Series1	42029.75	-2
Series1	42029.9993055556	-1.99
Series1	42030.375	-1.99
Series1	42030.75	-2
Series1	42030.9993055556	-2
Series1	42031.375	-1.99
Series1	42031.75	-1.99
Series1	42031.9993055556	-1.99
Series1	42032.375	-2
Series1	42032.75	-1.99
Series1	42032.9993055556	-2
Series1	42033.375	-2
Series1	42033.75	-2
Series1	42033.9993055556	-1.99
Series1	42034.375	-1.99
Series1	42034.75	-2
Series1	42034.9993055556	-1.99
Series1	42035.375	-1.99
Series1	42035.75	-2
Series1	42035.9993055556	-1.99
Series1	42036.375	-1.99
Series1	42036.75	-1.97
Series1	42036.9993055556	-1.97
Series1	42037.375	-1.97
Series1	42037.75	-1.99
Series1	42037.9993055556	-1.97
Series1	42038.375	-1.99
Series1	42038.75	-1.97
Series1	42038.9993055556	-1.97
Series1	42039.375	-1.99
Series1	42039.75	-1.97
Series1	42039.9993055556	-1.97
Series1	42040.375	-1.99
Series1	42040.75	-1.97
Series1	42040.9993055556	-1.97
Series1	42041.375	-1.97
Series1	42041.75	-1.97
Series1	42041.9993055556	-1.97
Series1	42042.375	-1.99
Series1	42042.75	-1.97
Series1	42042.9993055556	-1.96
Series1	42043.375	-1.97
Series1	42043.75	-1.96
Series1	42043.9993055556	-1.97
Series1	42044.375	-1.97
Series1	42044.75	-1.96
Series1	42044.9993055556	-1.97
Series1	42045.375	-1.96
Series1	42045.75	-1.96
Series1	42045.9993055556	-1.97
Series1	42046.375	-1.97
Series1	42046.75	-1.96
Series1	42046.9993055556	-1.97
Series1	42047.375	-1.96
Series1	42047.75	-1.96
Series1	42047.9993055556	-1.94
Series1	42048.375	-1.94
Series1	42048.75	-1.96
Series1	42048.9993055556	-1.94
Series1	42049.375	-1.96
Series1	42049.75	-1.94
Series1	42049.9993055556	-1.96
Series1	42050.375	-1.96
Series1	42050.75	-1.94
Series1	42050.9993055556	-1.94
Series1	42051.375	-1.94
Series1	42051.75	-1.94
Series1	42051.9993055556	-1.94
Series1	42052.375	-1.96
Series1	42052.75	-1.96
Series1	42052.9993055556	-1.96
Series1	42053.375	-1.96
Series1	42053.75	-1.94
Series1	42053.9993055556	-1.93
